,precision,recall,f1-score,support
activate_my_card,0.9285714285714286,0.975,0.951219512195122,40.0
age_limit,1.0,1.0,1.0,40.0
apple_pay_or_google_pay,0.975609756097561,1.0,0.9876543209876543,40.0
atm_support,0.975609756097561,1.0,0.9876543209876543,40.0
automatic_top_up,1.0,0.975,0.9873417721518987,40.0
balance_not_updated_after_bank_transfer,0.6304347826086957,0.725,0.6744186046511628,40.0
balance_not_updated_after_cheque_or_cash_deposit,1.0,0.9,0.9473684210526316,40.0
beneficiary_not_allowed,0.925,0.925,0.925,40.0
cancel_transfer,0.9090909090909091,1.0,0.9523809523809523,40.0
card_about_to_expire,0.9523809523809523,1.0,0.975609756097561,40.0
card_acceptance,0.95,0.95,0.9500000000000001,40.0
card_arrival,0.8372093023255814,0.9,0.8674698795180723,40.0
card_delivery_estimate,0.9024390243902439,0.925,0.9135802469135802,40.0
card_linking,1.0,0.975,0.9873417721518987,40.0
card_not_working,0.8780487804878049,0.9,0.888888888888889,40.0
card_payment_fee_charged,0.7916666666666666,0.95,0.8636363636363635,40.0
card_payment_not_recognised,0.9117647058823529,0.775,0.8378378378378379,40.0
card_payment_wrong_exchange_rate,0.8444444444444444,0.95,0.8941176470588236,40.0
card_swallowed,1.0,0.95,0.9743589743589743,40.0
cash_withdrawal_charge,0.9743589743589743,0.95,0.9620253164556962,40.0
cash_withdrawal_not_recognised,0.8666666666666667,0.975,0.9176470588235294,40.0
change_pin,0.8863636363636364,0.975,0.9285714285714285,40.0
compromised_card,0.9117647058823529,0.775,0.8378378378378379,40.0
contactless_not_working,1.0,0.9,0.9473684210526316,40.0
country_support,0.975,0.975,0.975,40.0
declined_card_payment,0.7755102040816326,0.95,0.8539325842696629,40.0
declined_cash_withdrawal,0.9302325581395349,1.0,0.963855421686747,40.0
declined_transfer,1.0,0.725,0.8405797101449275,40.0
direct_debit_payment_not_recognised,0.8717948717948718,0.85,0.8607594936708861,40.0
disposable_card_limits,0.9069767441860465,0.975,0.9397590361445783,40.0
edit_personal_details,1.0,1.0,1.0,40.0
exchange_charge,0.95,0.95,0.9500000000000001,40.0
exchange_rate,0.9069767441860465,0.975,0.9397590361445783,40.0
exchange_via_app,0.8863636363636364,0.975,0.9285714285714285,40.0
extra_charge_on_statement,0.972972972972973,0.9,0.935064935064935,40.0
failed_transfer,0.76,0.95,0.8444444444444444,40.0
fiat_currency_support,0.9411764705882353,0.8,0.8648648648648648,40.0
get_disposable_virtual_card,0.9428571428571428,0.825,0.88,40.0
get_physical_card,0.975,0.975,0.975,40.0
getting_spare_card,0.95,0.95,0.9500000000000001,40.0
getting_virtual_card,0.8863636363636364,0.975,0.9285714285714285,40.0
lost_or_stolen_card,0.8085106382978723,0.95,0.8735632183908046,40.0
lost_or_stolen_phone,1.0,0.975,0.9873417721518987,40.0
order_physical_card,0.9487179487179487,0.925,0.9367088607594937,40.0
passcode_forgotten,0.9523809523809523,1.0,0.975609756097561,40.0
pending_card_payment,0.8181818181818182,0.9,0.8571428571428572,40.0
pending_cash_withdrawal,1.0,0.875,0.9333333333333333,40.0
pending_top_up,0.8292682926829268,0.85,0.8395061728395061,40.0
pending_transfer,0.9285714285714286,0.65,0.7647058823529412,40.0
pin_blocked,0.9705882352941176,0.825,0.8918918918918919,40.0
receiving_money,0.9714285714285714,0.85,0.9066666666666667,40.0
Refund_not_showing_up,0.9736842105263158,0.925,0.9487179487179489,40.0
request_refund,0.9285714285714286,0.975,0.951219512195122,40.0
reverted_card_payment?,0.926829268292683,0.95,0.9382716049382716,40.0
supported_cards_and_currencies,0.9090909090909091,1.0,0.9523809523809523,40.0
terminate_account,0.9302325581395349,1.0,0.963855421686747,40.0
top_up_by_bank_transfer_charge,0.9,0.9,0.9,40.0
top_up_by_card_charge,0.9487179487179487,0.925,0.9367088607594937,40.0
top_up_by_cash_or_cheque,0.8780487804878049,0.9,0.888888888888889,40.0
top_up_failed,0.8461538461538461,0.825,0.8354430379746836,40.0
top_up_limits,0.975,0.975,0.975,40.0
top_up_reverted,0.8717948717948718,0.85,0.8607594936708861,40.0
topping_up_by_card,0.8571428571428571,0.75,0.7999999999999999,40.0
transaction_charged_twice,0.975609756097561,1.0,0.9876543209876543,40.0
transfer_fee_charged,0.9459459459459459,0.875,0.9090909090909091,40.0
transfer_into_account,0.8536585365853658,0.875,0.8641975308641976,40.0
transfer_not_received_by_recipient,0.8947368421052632,0.85,0.8717948717948718,40.0
transfer_timing,0.8333333333333334,0.875,0.8536585365853658,40.0
unable_to_verify_identity,0.95,0.95,0.9500000000000001,40.0
verify_my_identity,0.925,0.925,0.925,40.0
verify_source_of_funds,0.975609756097561,1.0,0.9876543209876543,40.0
verify_top_up,1.0,1.0,1.0,40.0
virtual_card_not_working,1.0,0.9,0.9473684210526316,40.0
visa_or_mastercard,1.0,0.95,0.9743589743589743,40.0
why_verify_identity,0.975,0.975,0.975,40.0
wrong_amount_of_cash_received,1.0,0.925,0.961038961038961,40.0
wrong_exchange_rate_for_cash_withdrawal,0.9444444444444444,0.85,0.8947368421052632,40.0
accuracy,0.9198051948051948,0.9198051948051948,0.9198051948051948,0.9198051948051948
macro avg,0.923751982505622,0.9198051948051946,0.9195943056999365,3080.0
weighted avg,0.9237519825056221,0.9198051948051948,0.9195943056999365,3080.0
